step,cluster_key,A_mean,raw_radius,radius,UCB,prob,selected,active_size,cluster_size,migration_in,migration_out
104,cluster_3,0.26,0.22692186966387995,0.19288358921429796,0.45288358921429794,0.264,292,152,160,0,0
104,cluster_4,0.219,0.22241303870703072,0.1890510829009761,0.40805108290097614,0.213,304,145,160,0,0
105,cluster_0,0.167,0.18012902027780825,0.153109667236137,0.320109667236137,0.143,464,100,100,0,0
105,cluster_1,0.188,0.18602311767530388,0.1581196500240083,0.3461196500240083,0.162,435,190,200,0,0
105,cluster_2,0.244,0.19568703475466548,0.16633397954146564,0.41033397954146567,0.219,393,163,180,0,0
105,cluster_3,0.258,0.22692186966387995,0.19288358921429796,0.45088358921429794,0.265,292,151,160,0,0
105,cluster_4,0.213,0.22241303870703072,0.1890510829009761,0.40205108290097613,0.21,304,147,160,0,0
106,cluster_0,0.158,0.18012902027780825,0.153109667236137,0.311109667236137,0.141,464,100,100,0,0
106,cluster_1,0.185,0.18602311767530388,0.1581196500240083,0.3431196500240083,0.163,435,190,200,0,0
106,cluster_2,0.235,0.19568703475466548,0.16633397954146564,0.40133397954146566,0.215,393,163,180,0,0
106,cluster_3,0.252,0.22692186966387995,0.19288358921429796,0.44488358921429794,0.265,292,151,160,0,0
106,cluster_4,0.214,0.22241303870703072,0.1890510829009761,0.40305108290097613,0.216,304,148,160,0,0
107,cluster_0,0.156,0.18012902027780825,0.153109667236137,0.309109667236137,0.139,464,100,100,0,0
107,cluster_1,0.177,0.18602311767530388,0.1581196500240083,0.3351196500240083,0.158,435,189,200,0,0
107,cluster_2,0.232,0.19568703475466548,0.16633397954146564,0.39833397954146565,0.212,393,165,180,0,0
107,cluster_3,0.259,0.22692186966387995,0.19288358921429796,0.45188358921429794,0.275,292,151,160,0,0
107,cluster_4,0.212,0.22241303870703072,0.1890510829009761,0.40105108290097613,0.215,304,148,160,0,0
108,cluster_0,0.162,0.18012902027780825,0.153109667236137,0.315109667236137,0.141,464,100,100,0,0
108,cluster_1,0.182,0.18602311767530388,0.1581196500240083,0.3401196500240083,0.159,435,190,200,0,0
108,cluster_2,0.235,0.19568703475466548,0.16633397954146564,0.40133397954146566,0.213,393,165,180,0,0
108,cluster_3,0.262,0.22692186966387995,0.19288358921429796,0.45488358921429795,0.275,292,151,160,0,0
108,cluster_4,0.212,0.22241303870703072,0.1890510829009761,0.40105108290097613,0.212,304,148,160,0,0
109,cluster_0,0.158,0.18012902027780825,0.153109667236137,0.311109667236137,0.142,464,100,100,0,0
109,cluster_1,0.177,0.18602311767530388,0.1581196500240083,0.3351196500240083,0.158,435,191,200,0,0
109,cluster_2,0.232,0.19568703475466548,0.16633397954146564,0.39833397954146565,0.213,393,165,180,0,0
109,cluster_3,0.261,0.22692186966387995,0.19288358921429796,0.45388358921429794,0.278,292,152,160,0,0
109,cluster_4,0.204,0.22241303870703072,0.1890510829009761,0.3930510829009761,0.209,304,147,160,0,0
110,cluster_0,0.156,0.18012902027780825,0.153109667236137,0.309109667236137,0.141,464,100,100,0,0
110,cluster_1,0.177,0.18602311767530388,0.1581196500240083,0.3351196500240083,0.159,435,190,200,0,0
110,cluster_2,0.227,0.19568703475466548,0.16633397954146564,0.39333397954146565,0.209,393,167,180,0,0
110,cluster_3,0.258,0.22692186966387995,0.19288358921429796,0.45088358921429794,0.276,292,152,160,0,0
110,cluster_4,0.209,0.22241303870703072,0.1890510829009761,0.3980510829009761,0.215,304,147,160,0,0
111,cluster_0,0.156,0.18012902027780825,0.153109667236137,0.309109667236137,0.142,464,100,100,0,0
111,cluster_1,0.181,0.18602311767530388,0.1581196500240083,0.3391196500240083,0.163,435,189,200,0,0
111,cluster_2,0.22,0.19568703475466548,0.16633397954146564,0.38633397954146564,0.204,393,168,180,0,0
111,cluster_3,0.256,0.22692186966387995,0.19288358921429796,0.44888358921429794,0.276,292,152,160,0,0
111,cluster_4,0.208,0.22241303870703072,0.1890510829009761,0.3970510829009761,0.215,304,147,160,0,0
112,cluster_0,0.144,0.18012902027780825,0.153109667236137,0.29710966723613697,0.136,464,100,100,0,0
112,cluster_1,0.177,0.18602311767530388,0.1581196500240083,0.3351196500240083,0.162,435,189,200,0,0
112,cluster_2,0.219,0.19568703475466548,0.16633397954146564,0.38533397954146564,0.206,393,169,180,0,0
112,cluster_3,0.254,0.22692186966387995,0.19288358921429796,0.44688358921429794,0.276,292,152,160,0,0
112,cluster_4,0.209,0.22241303870703072,0.1890510829009761,0.3980510829009761,0.219,304,148,160,0,0
113,cluster_0,0.139,0.18012902027780825,0.153109667236137,0.292109667236137,0.133,464,100,100,0,0
113,cluster_1,0.18,0.18602311767530388,0.1581196500240083,0.3381196500240083,0.165,435,190,200,0,0
113,cluster_2,0.219,0.19568703475466548,0.16633397954146564,0.38533397954146564,0.207,393,169,180,0,0
